assigned_zip,accomodations,animal care and services,children services,commercial and business,entertainment,food,home based business,home repair and construction,hospital and commercial care,liquor,manufacturing,motor vehicle,other,outdoor vending,parking,pawnshop and secondhand,personal services,public vehicles,tobacco
60018,4,0,0,535,5,586,6,0,0,180,14,0,0,5,33,0,13,6,120
60068,10,0,0,197,17,55,5,0,0,50,2,0,0,0,11,0,0,3,8
60077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60176,0,0,0,63,0,7,5,10,0,5,9,9,0,0,0,0,0,21,1
60202,3,6,3,348,12,189,69,12,5,81,19,31,2,32,0,9,0,6,48
60302,0,0,0,5,0,4,4,0,0,0,0,0,0,3,0,0,0,0,4
60419,0,0,0,31,0,5,0,0,0,0,17,0,0,1,0,0,0,0,0
60453,0,0,0,7,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0
60456,0,0,0,4,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0
60603,4,4,12,1734,158,1003,106,9,0,297,14,0,4,67,77,6,16,29,58
60604,47,0,16,10404,461,2644,299,25,0,781,38,5,0,137,340,170,68,132,479
60605,22,20,50,1016,153,527,311,13,0,426,23,7,2,57,193,0,39,3,91
60606,3,0,10,5188,167,1236,155,13,0,337,24,0,0,38,179,1,20,41,242
60607,12,59,64,2659,187,1770,321,32,4,740,140,115,0,136,271,24,60,23,152
60608,27,37,74,3706,117,2786,578,135,3,405,504,454,0,280,26,57,66,23,313
60609,15,23,105,5932,115,2371,531,246,6,409,725,636,0,274,70,85,15,24,453
60610,77,62,76,4118,400,1994,796,53,14,1374,55,66,4,224,619,28,135,26,376
60611,109,10,62,6375,404,1828,558,17,7,1207,20,0,6,486,563,38,173,56,291
60612,26,47,64,2383,95,1108,402,119,8,227,514,213,7,144,287,13,15,14,200
60613,37,57,85,2962,303,1627,688,70,15,1020,124,148,0,254,273,41,63,90,352
60614,58,127,125,4142,342,2535,857,77,25,1573,129,207,1,227,266,43,95,36,387
60615,11,11,62,934,25,576,312,57,0,148,10,41,0,134,26,32,21,3,120
60616,22,30,110,2815,182,1425,594,83,8,532,135,143,7,192,123,4,59,71,155
60617,11,27,186,3012,99,1413,742,223,13,314,329,413,11,253,7,51,5,31,413
60618,23,209,177,5553,200,3338,1197,375,11,1152,365,797,6,325,35,89,93,107,654
60619,25,14,233,2915,67,1314,527,108,4,251,87,300,0,213,4,45,10,15,403
60620,9,19,177,2201,20,969,382,176,4,208,103,272,0,183,0,33,2,7,389
60621,4,0,96,1033,36,778,204,70,18,155,60,188,3,148,5,23,0,0,393
60622,10,73,47,3610,167,1956,625,116,8,890,271,211,4,155,61,72,105,32,346
60623,0,32,86,4117,106,2545,440,150,18,387,448,618,9,362,14,80,7,65,585
60624,13,6,79,1873,41,829,296,143,12,128,420,237,0,128,0,28,0,0,384
60625,18,54,109,2764,96,1904,678,135,23,508,54,276,6,195,23,87,23,71,411
60626,21,36,68,1638,105,1282,520,77,40,358,32,216,4,163,25,107,22,42,314
