Assigned_Zip,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAUL,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,"Weapons (Violation, Concealed Carry)"
60018,0,138,321,6,2,231,321,349,0,0,0,7,1,0,0,84,215,1,0,2,0,2069,0,0,47,6,9,1,2073,23
60068,0,13,43,11,1,31,9,36,0,0,0,1,0,0,0,8,5,0,0,1,0,35,21,0,2,4,1,0,199,0
60077,0,1,3,5,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,1,0,0,5,0
60106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
60131,0,7,11,2,0,8,1,1,0,0,0,0,1,0,0,1,606,0,0,0,0,2,0,0,0,0,0,0,12,0
60176,0,100,206,1,0,113,444,331,0,0,0,2,0,1,0,141,59,0,0,4,0,1310,3,0,25,4,8,2,690,12
60202,4,460,1260,341,20,920,226,260,4,7,0,26,3,11,12,217,651,0,1,45,0,478,5,1,44,229,30,4,2183,65
60302,2,16,83,33,3,39,10,10,1,1,0,1,0,0,0,15,46,0,0,2,0,25,0,0,1,38,1,1,62,2
60419,0,3,2,9,0,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,28,0
60453,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0
60456,0,13,39,15,2,26,6,11,0,1,0,0,0,0,1,12,6,0,0,0,0,16,0,0,2,2,0,0,33,1
60603,1,136,406,49,13,229,177,512,0,0,0,13,3,0,14,44,190,1,2,8,0,178,32,1,72,115,17,2,2815,7
60604,2,1293,2035,280,42,836,1501,3121,1,3,0,17,35,8,27,200,624,1,0,36,4,1077,39,5,212,785,105,20,16158,38
60605,1,398,1174,254,43,837,730,1558,4,2,0,20,6,5,28,342,619,0,2,37,1,449,81,0,102,415,35,15,5172,26
60606,1,226,565,156,20,456,465,842,0,0,0,16,2,3,9,189,363,0,4,15,1,623,5,2,80,246,16,4,3938,14
60607,7,1035,2533,764,63,1800,892,1337,42,11,0,37,17,8,32,754,763,0,6,86,2,1131,26,1,178,661,35,13,8148,72
60608,80,2801,7390,2027,130,5722,1170,1098,31,73,0,90,36,26,167,2495,3022,2,5,303,0,2459,256,0,891,956,174,19,8794,412
60609,170,5268,15071,4426,259,9014,1797,2363,142,128,0,293,50,63,165,3908,9006,1,8,616,0,4149,592,3,922,2548,285,31,14308,1244
60610,10,1590,5212,1086,116,3009,2933,3884,42,20,0,97,19,14,128,811,2279,0,0,113,5,1481,254,4,233,1177,115,29,14275,141
60611,2,491,1638,241,68,783,797,2299,2,1,0,26,11,6,30,252,329,4,2,31,1,810,599,5,180,321,58,11,13806,31
60612,65,3738,10522,2722,204,5677,1425,1280,211,70,0,148,25,32,55,3040,9129,1,5,362,1,2882,1135,0,455,2357,184,28,12483,503
60613,28,1336,4699,2053,139,3683,988,2168,8,16,0,46,18,13,88,1367,2110,2,4,103,2,1676,39,4,299,1038,163,11,11876,121
60614,14,892,3383,3116,119,4634,810,2317,6,6,0,24,12,14,166,1742,622,0,0,52,1,1199,29,4,148,1108,100,21,17999,36
60615,14,1665,4322,1614,94,2451,590,917,74,34,0,31,6,18,11,1070,1451,0,5,164,0,1520,342,2,140,1083,71,9,5690,199
60616,29,1612,4508,1371,87,3196,2532,1370,31,12,0,49,13,10,37,1775,2163,0,2,140,1,1750,44,1,166,1082,83,31,10127,119
60617,160,8051,20818,9195,420,13687,2196,2822,129,193,0,246,74,97,143,4300,10423,1,3,1046,2,6938,416,2,1102,3978,292,56,16738,1584
60618,88,2295,7088,4356,182,6879,971,2022,10,27,0,82,35,30,156,3666,2398,0,8,331,0,2964,42,4,387,1420,231,33,13015,222
60619,120,6355,18321,7264,448,10367,1831,3309,152,186,0,265,41,68,79,4861,8966,0,4,686,1,5957,227,2,673,5648,192,68,17079,1322
60620,117,5821,16806,6452,343,8965,2412,3049,196,148,0,329,42,81,65,3834,10862,1,4,687,1,5208,262,4,685,4463,212,42,15539,1344
60621,166,6611,21428,6190,462,9425,2808,2327,324,188,0,327,37,78,77,3928,11042,0,5,592,0,4508,1388,2,884,5175,250,33,13298,1562
60622,47,1910,5014,3427,102,4753,729,1455,11,24,0,55,17,17,142,2074,1962,0,2,139,4,1637,279,0,221,1506,134,21,12256,167
60623,181,5810,18872,4798,368,9466,1291,1599,356,186,0,218,80,62,308,4352,12592,2,6,605,0,5618,412,1,1649,3759,277,53,12204,1115
60624,153,6360,21418,3772,381,8714,1903,3769,610,211,0,547,52,75,118,4026,30077,0,5,566,2,5051,3124,2,668,4844,210,35,13189,1339
60625,37,1424,4798,2196,122,4159,655,1166,27,21,0,58,21,18,139,1580,1875,1,2,175,1,1961,138,1,286,880,157,24,6661,189
60626,26,1965,5899,1655,136,3365,1264,1277,53,27,0,122,12,12,100,836,3131,1,5,168,0,2247,202,0,281,1392,141,17,6066,292
60628,207,8893,24052,9158,548,14273,3243,3175,227,188,0,450,76,117,60,5648,13732,4,4,900,0,6999,907,2,921,5328,312,59,18674,2131
60629,184,4796,14526,7977,343,11920,1450,2137,138,139,0,228,40,101,140,4535,8629,4,10,797,1,5414,343,1,1165,3912,353,37,12528,1027
60630,34,929,2777,1571,44,2970,463,987,6,8,0,28,11,24,53,1006,883,2,2,194,3,1500,4,0,101,354,61,16,5037,65
60631,5,292,937,442,12,1138,171,423,2,2,0,3,7,17,12,150,128,0,0,66,0,654,2,0,35,40,32,4,1551,9
60632,125,2558,7932,3997,200,7474,792,1456,9,76,0,102,24,70,168,3937,3941,1,10,415,1,2866,1563,3,757,1710,269,19,9385,501
60633,11,380,889,391,17,802,125,188,4,6,0,5,6,3,17,209,368,1,0,38,0,361,0,0,49,77,9,8,974,48
60634,44,1522,4485,2661,54,4946,590,1326,6,13,0,49,14,25,72,1679,1447,1,1,178,2,2332,9,0,173,682,114,14,6505,121
60636,168,6262,19667,6837,398,10180,2396,1972,405,204,0,409,36,73,78,3516,12996,0,5,540,0,4653,784,1,869,4145,196,30,14418,1860
60637,85,5842,18133,6245,369,8771,4062,1985,279,145,0,293,48,63,71,3416,10064,0,4,654,0,5629,725,0,869,4067,215,25,12974,1280
60638,52,1332,3509,1827,54,4223,491,1275,12,12,0,62,17,25,60,891,1629,1,3,199,0,1755,36,1,236,360,97,18,4950,132
60639,252,5450,16326,6608,345,10368,1588,2778,119,91,0,391,50,105,204,5858,9531,1,6,768,2,6513,1530,2,829,3785,289,27,16729,1020
60640,22,1795,5105,1429,143,2809,1009,1883,25,19,0,71,11,12,60,1053,3526,0,1,125,1,1853,68,1,298,1078,136,15,8102,158
60641,82,2095,6839,3234,122,5677,721,1416,2,20,0,86,20,52,118,2851,2788,0,3,305,0,2871,166,0,385,1160,153,22,8906,273
60642,16,764,3002,1203,60,3040,523,1155,2,13,0,30,9,4,78,1467,629,0,1,48,1,690,29,0,91,603,43,11,10580,95
60643,40,3051,7712,3679,166,5226,1103,1915,76,69,0,112,26,72,43,1891,3294,0,4,403,0,3225,13,0,399,1509,119,26,9291,546
60644,117,5287,17840,3636,396,7160,1966,1822,828,139,0,447,25,60,96,2747,24731,0,3,540,0,5204,594,0,831,3983,185,19,10284,960
60645,32,1148,3409,1738,78,3305,498,867,9,9,0,59,12,17,37,967,1419,0,5,153,0,1499,55,0,128,808,75,19,5226,137
60646,4,228,510,526,13,925,85,297,0,0,0,3,3,12,13,128,131,0,1,35,0,419,5,0,20,36,20,2,1250,13
60647,173,4549,13724,7370,314,10624,2000,2616,17,64,0,180,36,61,290,5426,5518,0,6,647,4,4689,1041,2,612,3193,305,44,21771,592
60649,58,3684,11699,5386,244,6295,1318,1487,139,86,0,132,18,30,25,2233,5135,1,1,412,0,4066,363,0,365,2621,145,21,8476,628
60651,120,3854,13275,3249,236,5751,1004,1198,536,139,0,332,22,54,87,2613,18221,0,5,431,0,3904,406,0,443,2837,149,25,7703,933
60652,27,1348,3156,2193,68,3375,491,978,11,28,0,28,5,28,22,1132,1089,0,3,178,0,1559,13,0,251,885,85,11,6799,198
60653,33,3830,10606,2812,197,5405,2027,1565,161,73,0,95,26,32,31,2315,6321,0,5,371,0,3763,384,1,280,2225,139,29,10048,498
60654,2,754,3394,642,82,1604,1088,3211,1,4,0,52,3,7,108,612,628,2,0,22,1,824,351,3,150,713,66,15,12365,51
60655,6,348,755,355,12,944,182,355,2,1,0,7,7,37,25,98,199,0,2,99,0,523,0,0,42,57,27,4,1413,19
60656,14,453,1431,543,25,1532,208,506,0,3,0,11,4,14,12,326,331,1,2,85,0,843,10,0,52,97,47,4,2511,21
60657,9,693,2799,1858,94,2467,680,1723,0,1,1,21,9,2,71,927,827,3,2,26,4,818,92,4,181,1209,109,14,9966,54
60659,15,647,1884,1097,41,1612,246,474,7,7,0,34,7,11,26,617,734,1,1,88,1,889,17,0,92,360,41,8,2777,73
60660,14,725,2090,743,47,1259,334,540,7,13,0,20,6,0,31,443,691,0,1,64,0,920,5,0,109,384,60,7,3009,69
