Assigned Zip,Occupied VB,Unknown VB,Vacant ,VC Boarded,Unknown,VB Open,People False,People True
60018,0,0,0,0,0,0,0,0
60068,0,0,0,0,0,0,0,0
60077,0,0,0,0,0,0,0,0
60106,0,0,0,0,0,0,0,0
60131,0,0,0,0,0,0,0,0
60176,0,0,0,0,0,0,0,0
60202,1,0,15,4,0,12,9,6
60302,0,0,8,0,0,8,4,4
60419,0,0,1,0,0,1,1,0
60453,0,0,0,0,0,0,0,0
60456,0,0,1,0,0,1,0,1
60603,0,0,3,0,0,3,1,2
60604,0,0,9,2,0,7,4,5
60605,1,0,17,3,0,15,13,5
60606,0,0,2,0,0,2,2,0
60607,0,0,34,6,0,28,22,12
60608,11,1,388,43,1,356,191,206
60609,34,1,2018,274,16,1763,1137,905
60610,1,0,47,9,0,39,28,20
60611,0,0,2,0,0,2,1,1
60612,23,0,902,103,8,814,348,572
60613,1,0,66,21,0,46,50,17
60614,3,0,105,30,0,78,69,38
60615,2,0,150,20,0,132,77,75
60616,3,0,55,13,0,45,38,20
60617,43,0,3171,385,16,2815,1689,1497
60618,7,0,350,51,0,306,226,128
60619,26,1,2136,289,14,1861,1062,1089
60620,20,1,2107,270,41,1818,1052,1065
60621,43,0,3446,346,27,3110,1983,1483
60622,3,0,198,32,1,168,95,105
60623,27,0,1572,126,5,1468,819,775
60624,31,0,2722,204,9,2541,1135,1610
60625,4,0,160,18,0,146,95,69
60626,1,0,46,7,0,39,29,18
60628,45,1,4252,493,41,3763,2408,1868
60629,22,0,1625,199,10,1438,728,908
60630,0,0,89,13,0,76,68,21
60631,1,0,52,13,0,40,39,14
60632,4,0,739,58,2,683,265,429
60633,0,0,83,9,0,75,50,33
60634,5,0,307,32,0,280,191,120
60636,60,0,4467,422,32,4073,2362,2144
60637,19,0,1573,193,18,1380,716,864
60638,6,0,228,31,0,203,140,92
60639,21,0,935,105,2,847,411,538
60640,0,0,71,14,0,57,49,22
60641,6,0,274,38,0,242,149,129
60642,3,0,68,11,0,60,44,26
60643,14,1,940,139,15,801,527,420
60644,16,0,1524,143,8,1389,600,936
60645,2,0,60,7,0,55,39,23
60646,0,0,39,7,0,32,31,7
60647,24,2,838,122,9,732,428,430
60649,11,0,655,87,6,573,332,328
60651,15,0,1466,129,4,1348,600,872
60652,5,0,276,38,0,243,176,104
60653,13,0,628,107,1,533,318,320
60654,0,0,10,1,0,9,8,2
60655,1,0,67,8,0,60,50,18
60656,0,0,57,11,1,45,42,14
60657,1,0,65,8,0,58,40,26
60659,0,0,53,6,0,47,29,24
60660,0,0,39,5,0,34,29,10
60666,0,0,0,0,0,0,0,0
60706,1,0,5,1,0,5,3,3
60707,1,0,133,23,0,111,83,51
60712,0,0,4,0,0,4,4,0
60714,0,0,3,1,0,2,2,1
60803,0,0,4,0,0,4,3,1
60804,0,0,0,0,0,0,0,0
60805,0,0,4,2,0,2,1,3
60827,1,0,147,9,3,136,86,60
